snr,seed,method,classifier,accuracy,macro_f1,f1_point,f1_cyst,f1_dense,best_params
40,2,PCA,SVM-RBF,0.3466666666666667,0.3460997797351297,0.33513513513513515,0.3382352941176471,0.36492890995260663,"{'C': 0.1, 'gamma': 'scale'}"
40,3,Raw RF,Logistic Regression,0.3233333333333333,0.32297629335909034,0.28860759493670884,0.3333333333333333,0.3469879518072289,{'C': 0.1}
40,3,Raw RF,Random Forest,0.3983333333333333,0.38840952375455134,0.4388185654008439,0.41411764705882353,0.3122923588039867,"{'max_depth': 20, 'n_estimators': 200}"
40,3,Raw RF,SVM-RBF,0.38166666666666665,0.3644489589921931,0.35844155844155845,0.44609665427509293,0.2888086642599278,"{'C': 10.0, 'gamma': 0.1}"
40,3,AE Latent,Logistic Regression,0.325,0.32509008859163097,0.33093525179856115,0.3118811881188119,0.3324538258575198,{'C': 1.0}
40,3,AE Latent,Random Forest,0.36666666666666664,0.3646510352392706,0.3891402714932127,0.36363636363636365,0.3411764705882353,"{'max_depth': None, 'n_estimators': 100}"
40,3,AE Latent,SVM-RBF,0.36666666666666664,0.3171892305618126,0.31978319783197834,0.4696223316912972,0.16216216216216217,"{'C': 0.1, 'gamma': 'scale'}"
40,3,PCA,Logistic Regression,0.365,0.36514207619512257,0.36496350364963503,0.35,0.38046272493573263,{'C': 0.1}
40,3,PCA,Random Forest,0.36333333333333334,0.3616951864017984,0.3901345291479821,0.3492063492063492,0.34574468085106386,"{'max_depth': None, 'n_estimators': 100}"
40,3,PCA,SVM-RBF,0.365,0.363485015361404,0.3917995444191344,0.33689839572192515,0.36175710594315247,"{'C': 0.1, 'gamma': 0.1}"
40,4,Raw RF,Logistic Regression,0.3333333333333333,0.33110744506373563,0.36492890995260663,0.27717391304347827,0.35121951219512193,{'C': 10.0}
40,4,Raw RF,Random Forest,0.37666666666666665,0.3620421790994031,0.4307692307692308,0.3947939262472885,0.2605633802816901,"{'max_depth': 20, 'n_estimators': 200}"
40,4,Raw RF,SVM-RBF,0.3616666666666667,0.22247167799936465,0.0,0.5121638924455826,0.1552511415525114,"{'C': 0.1, 'gamma': 0.1}"
40,4,AE Latent,Logistic Regression,0.345,0.3446891696296648,0.31840796019900497,0.36619718309859156,0.34946236559139787,{'C': 0.1}
40,4,AE Latent,Random Forest,0.3516666666666667,0.34752635875038385,0.3696682464454976,0.3676148796498906,0.3052959501557632,"{'max_depth': 10, 'n_estimators': 100}"
